,sub,scan_length
909,sub-0051266,4.75
910,sub-0051267,6.0
911,sub-0051268,5.8
912,sub-0051269,5.6
913,sub-0051271,6.0
914,sub-0051272,5.95
915,sub-0051273,5.55
916,sub-0051275,5.4
917,sub-0051276,5.85
918,sub-0051277,6.0
919,sub-0051278,3.15
920,sub-0051279,5.85
921,sub-0051280,6.0
922,sub-0051281,5.5
923,sub-0051282,5.3
924,sub-0051291,5.45
925,sub-0051292,2.55
926,sub-0051293,5.95
927,sub-0051294,4.5
928,sub-0051295,5.05
929,sub-0051297,2.45
930,sub-0051298,4.35
931,sub-0051299,4.0
932,sub-0051300,2.0
933,sub-0051301,4.8
934,sub-0051302,4.5
935,sub-0051303,5.95
936,sub-0051304,3.65
937,sub-0051305,5.95
938,sub-0051306,4.5
939,sub-0051307,4.85
940,sub-0051308,5.95
941,sub-0051309,4.95
942,sub-0051311,6.0
943,sub-0051312,5.2
944,sub-0051313,6.0
945,sub-0051314,5.35
946,sub-0051315,5.9
947,sub-0051316,5.45
948,sub-0051317,5.65
949,sub-0051318,6.0
950,sub-0051319,6.0
951,sub-0051320,2.6
952,sub-0051321,5.85
953,sub-0051322,5.9
954,sub-0051323,6.0
955,sub-0051324,5.5
956,sub-0051325,6.0
957,sub-0051326,5.35
958,sub-0051327,5.45
959,sub-0051328,5.7
960,sub-0051329,6.85
961,sub-0051330,7.2
962,sub-0051331,9.05
963,sub-0051332,5.75
964,sub-0051333,5.35
965,sub-0051334,5.05
966,sub-0051335,5.9
967,sub-0051336,4.0
968,sub-0051338,5.9
969,sub-0051339,5.8
970,sub-0051340,5.75
971,sub-0051341,4.45
972,sub-0051342,5.85
973,sub-0051343,5.55
974,sub-0051344,5.35
975,sub-0051345,6.0
976,sub-0051346,5.65
977,sub-0051347,6.0
978,sub-0051348,4.45
979,sub-0051349,7.75
980,sub-0051350,4.0
981,sub-0051351,9.1
982,sub-0051352,3.95
983,sub-0051353,3.75
984,sub-0051354,6.8
985,sub-0051355,6.95
986,sub-0051356,9.75
987,sub-0051357,9.9
988,sub-0051358,4.15
989,sub-0051359,2.8
990,sub-0051360,8.85
991,sub-0051361,7.35
992,sub-0051362,6.0
993,sub-0051363,5.8
994,sub-0051364,4.7
995,sub-0051365,4.85
996,sub-0051366,4.15
997,sub-0051367,6.0
998,sub-0051368,5.85
999,sub-0051369,4.35
1000,sub-0051370,6.0
1001,sub-0051371,5.9
1002,sub-0051372,6.0
1003,sub-0051373,6.0
1004,sub-0051456,2.066666666666667
1005,sub-0051457,4.766666666666667
1006,sub-0051458,3.8666666666666667
1007,sub-0051459,5.0
1008,sub-0051461,3.066666666666667
1009,sub-0051462,3.533333333333333
1010,sub-0051463,4.933333333333334
1011,sub-0051464,5.0
1012,sub-0051465,5.0
1013,sub-0051467,4.9
1014,sub-0051468,4.866666666666666
1015,sub-0051469,3.1333333333333333
1016,sub-0051470,4.966666666666667
1017,sub-0051471,4.666666666666667
1018,sub-0051472,4.966666666666667
1019,sub-0051473,4.7
1020,sub-0051474,4.233333333333333
1021,sub-0051475,4.366666666666666
1022,sub-0051476,4.7
1023,sub-0051478,4.9
1024,sub-0051480,5.0
1025,sub-0051481,3.433333333333333
1026,sub-0051482,4.933333333333334
1027,sub-0051483,5.0
1028,sub-0051484,4.533333333333333
1029,sub-0051485,4.8
1030,sub-0051487,5.0
1031,sub-0051488,4.533333333333333
1032,sub-0051489,3.6666666666666665
1033,sub-0051491,5.0
1034,sub-0051492,4.933333333333334
1035,sub-0051493,4.933333333333334
1036,sub-0051556,4.766666769981384
1037,sub-0051557,6.9666668176651
1038,sub-0051558,4.620000100135803
1039,sub-0051559,6.013333463668824
1040,sub-0051560,5.316666781902313
1041,sub-0051561,6.380000138282776
1042,sub-0051562,6.013333463668824
1043,sub-0051563,6.123333466053009
1044,sub-0051564,5.023333442211151
1045,sub-0051565,6.34333347082138
1046,sub-0051566,5.5366667866706845
1047,sub-0051567,4.950000107288361
1048,sub-0051568,2.7133333921432494
1049,sub-0051569,4.25333342552185
1050,sub-0051570,6.380000138282776
1051,sub-0051571,5.7933334589004515
1052,sub-0051572,5.866666793823242
1053,sub-0051573,5.426666784286499
1054,sub-0051574,6.416666805744171
1055,sub-0051575,2.200000047683716
1056,sub-0051576,4.290000092983246
1057,sub-0051577,6.783333480358124
1058,sub-0051578,4.25333342552185
1059,sub-0051579,6.746666812896729
1060,sub-0051580,4.730000102519989
1061,sub-0051581,2.236666715145111
1062,sub-0051582,4.803333437442779
1063,sub-0051583,6.3066668033599855
1064,sub-0051584,3.740000081062317
1065,sub-0051585,4.950000107288361
1066,sub-0051606,6.0
1067,sub-0051607,3.75
